period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
108,93067822,7939807,402261,99019,18509651,18,19463,13598,140597,25260951,1836,290608,4152,16.65
109,93922405,8012896,405679,99019,82620634,18,19463,13598,141871,25490049,1836,290608,4152,16.00
110,94810630,8088260,408684,99019,18744437,18,19463,13598,143133,25725622,1836,290608,4152,16.62
111,95643841,8161291,412665,99019,18904907,18,19463,13598,144407,25955498,1836,290608,4152,15.96
112,96458726,8230076,415775,99019,19086628,18,19463,13598,145653,26171669,1836,290608,4152,15.16
113,97314228,8303735,419176,99019,19215753,18,19463,13598,146859,26399768,1836,290608,4152,15.99
114,98178752,8376200,422642,99019,86232855,18,19463,13598,148188,26627536,1836,290608,4152,16.06
115,99005607,8448124,426227,99019,19498558,18,19463,13598,149530,26854103,1836,290608,4152,15.93
116,99846636,8521232,429357,99019,19637492,18,19463,13598,150838,27080000,1836,290608,4152,15.66
117,100719202,8595888,432549,99019,19748351,18,19463,13598,152193,27310708,1836,290608,4152,16.27
118,101549250,8667622,435987,99019,19910411,18,19463,13598,153359,27539642,1836,290608,4152,16.10
119,102412360,8740996,439677,99019,20040849,18,19463,13598,154666,27771996,1836,290608,4152,15.99
120,103318678,8816925,443291,99019,20130430,18,19463,13598,156006,28015057,1836,290608,4152,17.03
121,104214706,8892713,447065,99019,20225943,18,19463,13598,157306,28254457,1836,290608,4152,16.69
122,105078387,8966876,450693,99019,20355016,18,19463,13598,158616,28490323,1836,290608,4152,16.60
123,105921573,9036464,454285,99019,20503618,18,19463,13598,159823,28716595,1836,290608,4152,15.65
124,106801882,9112516,457873,99019,20617049,18,19463,13598,161163,28951845,1836,290608,4152,16.36
125,107664691,9187295,460942,99019,20750798,18,19463,13598,162420,29188955,1836,290608,4152,16.57
126,108545168,9262164,464730,99019,20863010,18,19463,13598,163806,29421845,1836,290608,4152,16.37
127,109408403,9335171,467939,99019,20986423,18,19463,13598,165099,29652419,1836,290608,4152,16.04
128,110225559,9405857,471965,99019,21165786,18,19463,13598,166325,29870730,1836,290608,4152,15.05
129,111091019,9480839,475285,99019,21287789,18,19463,13598,167606,30107929,1836,290608,4152,16.53
130,111949252,9552123,478798,99019,21412983,18,19463,13598,168918,30337685,1836,290608,4152,16.04
131,112840183,9625645,482494,99019,21521399,18,19463,13598,170130,30571571,1836,290608,4152,16.56
132,113709891,9703346,485886,99019,21643982,18,19463,13598,171410,30806712,1836,290608,4152,16.69
133,114614544,9777957,489655,99019,21743121,18,19463,13598,172726,31048381,1836,290608,4152,16.86
134,115465808,9851780,493246,99019,100616768,18,19463,13598,173980,31275236,1836,290608,4152,15.70
135,116339872,9925186,496226,99019,22013974,18,19463,13598,175239,31507383,1836,290608,4152,16.32
136,117217212,9999785,499836,99019,22140087,18,19463,13598,176431,31743773,1836,290608,4152,16.77
137,118071826,10071472,503514,99019,22274277,18,19463,13598,177743,31968244,1836,290608,4152,15.82
138,118947856,10147681,507460,99019,103497171,18,19463,13598,179015,32198188,1836,290608,4152,16.34
139,119807495,10223991,510731,99019,22512637,18,19463,13598,180323,32429099,1836,290608,4152,16.54
140,120688629,10299223,514217,99019,22655988,18,19463,13598,181562,32660935,1836,290608,4152,16.34
141,121541834,10372895,517736,99019,22793320,18,19463,13598,182806,32883264,1836,290608,4152,15.95
142,122409053,10448437,520967,99019,22918681,18,19463,13598,184098,33110840,1836,290608,4152,16.32
143,123225968,10521603,524348,99019,107139694,18,19463,13598,185364,33333846,1836,290608,4152,15.70
144,124112926,10597183,527353,99019,23182809,18,19463,13598,186614,33567165,1836,290608,4152,17.01
145,124951365,10670375,531264,99019,23332941,18,19463,13598,187849,33793178,1836,290608,4152,15.78
146,125812085,10746219,534443,99019,109294633,18,19463,13598,189127,34024329,1836,290608,4152,16.39
147,126710123,10823112,550825,99019,23592851,18,19463,13598,190385,34259021,1836,290608,4152,17.22
148,127564821,10897884,554475,99019,23725967,18,19463,13598,191724,34488490,1836,290608,4152,16.15
149,128422243,10971366,557687,99019,23860703,18,19463,13598,193040,34714888,1836,290608,4152,16.04
150,129285536,11048062,561397,99019,112180299,18,19463,13598,194380,34950705,1836,290608,4152,16.61
151,130128515,11120926,564660,99019,24135072,18,19463,13598,195546,35175216,1836,290608,4152,15.94
152,130970348,11194165,568651,99019,24294650,18,19463,13598,196888,35399157,1836,290608,4152,15.66
153,131805956,11266809,572226,99019,24455972,18,19463,13598,198211,35624484,1836,290608,4152,15.63
154,132649439,11341891,575392,99019,24598022,18,19463,13598,199621,35852790,1836,290608,4152,16.21
155,133478055,11412442,578802,99019,115829159,18,19463,13598,200775,36074060,1836,290608,4152,15.48
156,134340840,11484812,582269,99019,24890808,18,19463,13598,202005,36303724,1836,290608,4152,16.20
157,135177087,11558465,585222,99019,25041831,18,19463,13598,203268,36526630,1836,290608,4152,16.10
158,136012963,11631903,588917,99019,25199882,18,19463,13598,204552,36747946,1836,290608,4152,15.65
159,136880746,11706060,592796,99019,25325173,18,19463,13598,205830,36980398,1836,290608,4152,16.24
160,137715394,11777175,596056,99019,25468373,18,19463,13598,206997,37207536,1836,290608,4152,15.72
161,138586301,11852978,599603,99019,25596625,18,19463,13598,208211,37439578,1836,290608,4152,16.73
162,139459323,11927734,603008,99019,120913682,18,19463,13598,209538,37669098,1836,290608,4152,16.49
163,140313251,12000099,605997,99019,25850503,18,19463,13598,210712,37898658,1836,290608,4152,16.07
164,141115795,12076496,609474,99019,26031325,18,19463,13598,212000,38111317,1836,290608,4152,15.38
165,141960476,12151336,612426,99019,26174470,18,19463,13598,213231,38331355,1836,290608,4152,15.89
166,142852400,12227774,615805,99019,26273090,18,19463,13598,214495,38567594,1836,290608,4152,16.76
167,143731471,12302662,619360,99019,26384268,18,19463,13598,215712,38802208,1836,290608,4152,16.42
168,144596697,12377652,623172,99019,26504956,18,19463,13598,216935,39039307,1836,290608,4152,16.65
169,145509004,12454752,626353,99019,26592225,18,19463,13598,218221,39284009,1836,290608,4152,17.21
170,146389559,12529880,629930,99019,26699010,18,19463,13598,219442,39519725,1836,290608,4152,16.49
171,147277259,12606975,633899,99019,26809123,18,19463,13598,220749,39762274,1836,290608,4152,17.05
172,148173701,12682420,637014,99019,26901998,18,19463,13598,222068,40002406,1836,290608,4152,16.85
173,149055602,12756237,640789,99019,27016131,18,19463,13598,223358,40239146,1836,290608,4152,16.53
174,149927149,12829945,644019,99019,27141575,18,19463,13598,224637,40471103,1836,290608,4152,16.39
175,150835984,12909368,647733,99019,27237064,18,19463,13598,225902,40720837,1836,290608,4152,17.53
176,151718045,12984268,651213,99019,27344612,18,19463,13598,227204,40957039,1836,290608,4152,16.48
177,152621341,13059836,654994,99019,27433393,18,19463,13598,228456,41198197,1836,290608,4152,16.90
178,153024293,13093129,658566,99019,132511451,18,19463,13598,230006,41316522,1836,290608,4152,7.33
179,153080237,13094939,662661,99019,133486773,18,19463,13598,231730,41337970,1836,290608,4152,0.21
period,tiT,experiment_runn,measurer,main,IDLE,Tmr Svc,ipc1,sys_evt,esp_timer,wifi,ipc0,Heap,Stack,Mbps
5,8227,455,1518,99197,4330987,18,19455,13727,3516,698739,1837,290608,4152,0.01
6,12025,6022,11806,99197,4518111,18,19455,13727,5061,714822,1837,290608,4152,0.00
7,13821,6022,14401,99197,5502433,18,19455,13727,6373,728624,1837,290608,4152,0.00
8,798450,83178,16995,99197,6529087,18,19455,13727,7575,938602,1837,290608,4152,15.05
9,1578546,156108,20930,99197,6745275,18,19455,13727,8833,1147234,1837,290608,4152,15.46
10,2405549,229101,24801,99197,6912804,18,19455,13727,10104,1357597,1837,290608,4152,15.42
11,3225937,300069,28253,99197,7087382,18,19455,13727,11417,1570299,1837,290608,4152,15.15
12,3983455,372362,31637,99197,7317844,18,19455,13727,12578,1771954,1837,290608,4152,14.44
13,4797186,443588,35609,99197,7493818,18,19455,13727,13797,1977414,1837,290608,4152,15.07
14,5638324,518261,38875,99197,10692319,18,19455,13727,15041,2188595,1837,290608,4152,15.62
15,6461652,591591,42071,99197,7822096,18,19455,13727,16322,2399363,1837,290608,4152,15.29
16,7286068,663960,45779,99197,7991160,18,19455,13727,17578,2612345,1837,290608,4152,15.29
17,8152212,741571,49497,99197,8116941,18,19455,13727,18856,2836696,1837,290608,4152,16.73
18,8977849,814968,52822,99197,13640094,18,19455,13727,20107,3045776,1837,290608,4152,15.30
19,9831303,888546,56344,99197,8420864,18,19455,13727,21307,3265941,1837,290608,4152,15.85
20,10559549,952601,59257,99197,8678900,18,19455,13727,22509,3449765,1837,290608,4152,13.38
21,11426074,1028484,62801,99197,8804492,18,19455,13727,23701,3671606,1837,290608,4152,16.10
22,12182157,1095032,70759,99197,16614056,18,19455,13727,24927,3879717,1837,290608,4152,14.23
23,12984546,1165380,82444,99197,9272797,18,19455,13727,26134,4085623,1837,290608,4152,15.10
24,13860699,1239271,85813,99197,9385720,18,19455,13727,27361,4311411,1837,290608,4152,16.32
25,14728527,1310680,89171,99197,9512516,18,19455,13727,28480,4538587,1837,290608,4152,16.10
26,15617302,1386336,92539,99197,19568076,18,19455,13727,29689,4771861,1837,290608,4152,16.47
27,16489482,1459737,96248,99197,9726875,18,19455,13727,30821,5004273,1837,290608,4152,16.29
28,17395380,1537334,99965,99197,9810562,18,19455,13727,31974,5250431,1837,290608,4152,17.41
29,18294758,1612548,103490,99197,9911685,18,19455,13727,33256,5484884,1837,290608,4152,16.63
30,19180517,1685755,106871,99197,10022836,18,19455,13727,34580,5720500,1837,290608,4152,16.50
31,20060306,1759805,110397,99197,10134672,18,19455,13727,35820,5952025,1837,290608,4152,16.31
32,20910677,1832557,113865,99197,23879763,18,19455,13727,37178,6177674,1837,290608,4152,15.63
33,21783673,1906136,117061,99197,24595734,18,19455,13727,38494,6411051,1837,290608,4152,16.42
34,22669198,1982979,133659,99197,10508539,18,19455,13727,39816,6646960,1837,290608,4152,16.83
35,23555970,2058749,136755,99197,26040943,18,19455,13727,41007,6877105,1837,290608,4152,16.41
36,24398209,2128916,139314,99197,26771650,18,19455,13727,42374,7096548,1837,290608,4152,15.59
37,25274331,2203918,142134,99197,27500319,18,19455,13727,43654,7323581,1837,290608,4152,16.30
38,26143251,2277825,145501,99197,11009530,18,19455,13727,44907,7551843,1837,290608,4152,16.17
39,27029352,2356093,148890,99197,28943906,18,19455,13727,46210,7783041,1837,290608,4152,17.02
40,27922847,2428064,151898,99197,11206719,18,19455,13727,47458,8015018,1837,290608,4152,16.58
41,28838217,2504661,155698,99197,30371103,18,19455,13727,48764,8253212,1837,290608,4152,16.93
42,29682513,2576086,158832,99197,11429384,18,19455,13727,50064,8478971,1837,290608,4152,15.73
43,30563389,2651309,162688,99197,11540816,18,19455,13727,51341,8715764,1837,290608,4152,16.54
44,31472339,2728469,166348,99197,11626268,18,19455,13727,52667,8956925,1837,290608,4152,17.26
45,32302781,2804539,176136,99197,11794970,18,19455,13727,54043,9177326,1837,290608,4152,15.77
46,33176612,2881301,179506,99197,11908302,18,19455,13727,55300,9405730,1837,290608,4152,16.58
47,34039455,2959772,182944,99197,12035101,18,19455,13727,56573,9627368,1837,290608,4152,16.31
48,34840584,3032581,186636,99197,12227006,18,19455,13727,57752,9838426,1837,290608,4152,15.07
49,35656394,3107689,189660,99197,36164687,18,19455,13727,58979,10052724,1837,290608,4152,15.36
50,36523372,3185547,192673,99197,12524430,18,19455,13727,60413,10276324,1837,290608,4152,16.76
51,37346682,3259245,196253,99197,12693535,18,19455,13727,61732,10494320,1837,290608,4152,15.28
52,38201626,3336904,199968,99197,38335356,18,19455,13727,63053,10714356,1837,290608,4152,16.05
53,39038044,3409952,203114,99197,12983780,18,19455,13727,64407,10936202,1837,290608,4152,15.74
54,39857641,3483963,207116,99197,13152121,18,19455,13727,65656,11150688,1837,290608,4152,15.42
55,40714755,3561724,210462,99197,13291729,18,19455,13727,66907,11375514,1837,290608,4152,16.53
56,41566495,3636172,213832,99197,13429259,18,19455,13727,68184,11596476,1837,290608,4152,16.12
57,42378875,3711740,217346,99197,13608848,18,19455,13727,69465,11807327,1837,290608,4152,15.28
58,43242553,3786348,220628,99197,13731631,18,19455,13727,70772,12031029,1837,290608,4152,16.42
59,44133465,3863522,224290,99197,13837645,18,19455,13727,72077,12265396,1837,290608,4152,16.82
60,44969252,3936334,231681,99197,14002140,18,19455,13727,73373,12486807,1837,290608,4152,15.78
61,45860021,4015115,240280,99197,14123360,18,19455,13727,74673,12720705,1837,290608,4152,16.95
62,46696735,4088730,244117,99197,14282122,18,19455,13727,75944,12939302,1837,290608,4152,15.47
63,47549427,4165053,247488,99197,14424805,18,19455,13727,77211,13160500,1837,290608,4152,16.09
64,48447099,4243248,250972,99197,14514765,18,19455,13727,78596,13386511,1837,290608,4152,16.97
65,49280193,4319085,254217,99197,14671016,18,19455,13727,79770,13601778,1837,290608,4152,15.72
66,50096789,4392936,257740,99197,14843511,18,19455,13727,81117,13818204,1837,290608,4152,15.66
67,50953022,4468580,261054,99197,14972676,18,19455,13727,82371,14035787,1837,290608,4152,16.00
68,51775711,4542944,264747,99197,15142446,18,19455,13727,83748,14241137,1837,290608,4152,15.15
69,52680997,4618245,268437,99197,15230437,18,19455,13727,84995,14475507,1837,290608,4152,16.96
70,53553830,4691610,272096,99197,15350059,18,19455,13727,86233,14711787,1837,290608,4152,16.44
71,54330696,4763692,275236,99197,15555318,18,19455,13727,87513,14920699,1837,290608,4152,14.92
72,55133965,4835581,278927,99197,52911846,18,19455,13727,88769,15130354,1837,290608,4152,14.95
73,56001977,4910176,281828,99197,15868954,18,19455,13727,90063,15359468,1837,290608,4152,16.39
74,56817435,4980410,285059,99197,54356706,18,19455,13727,91364,15575286,1837,290608,4152,15.38
75,57571922,5049451,288487,99197,16271052,18,19455,13727,92638,15773510,1837,290608,4152,14.06
76,58282344,5115861,292419,99197,16566354,18,19455,13727,93893,15962783,1837,290608,4152,13.44
77,59112493,5188278,295321,99197,16762218,18,19455,13727,95227,16178383,1837,290608,4152,15.41
78,59893467,5258610,299382,99197,16972844,18,19455,13727,96524,16388864,1837,290608,4152,14.67
79,60726695,5328632,302755,99197,17127239,18,19455,13727,97835,16607043,1837,290608,4152,15.46
80,61563372,5405814,306235,99197,17278088,18,19455,13727,99047,16823097,1837,290608,4152,15.52
81,62407954,5476870,310099,99197,17422825,18,19455,13727,100367,17042772,1837,290608,4152,15.74
82,63259041,5552259,313431,99197,17565013,18,19455,13727,101675,17266825,1837,290608,4152,16.32
83,64142672,5626720,317062,99197,17673042,18,19455,13727,102934,17493596,1837,290608,4152,16.40
84,64999737,5699940,321102,99197,17810841,18,19455,13727,104179,17714136,1837,290608,4152,15.83
85,65871209,5774853,324606,99197,17935142,18,19455,13727,105470,17934840,1837,290608,4152,16.14
86,66709167,5850665,328301,99197,18092543,18,19455,13727,106754,18147353,1837,290608,4152,15.40
87,67557384,5925166,331575,99197,63968834,18,19455,13727,108024,18368179,1837,290608,4152,16.21
88,68448253,6001910,343574,99197,18372803,18,19455,13727,109302,18592500,1837,290608,4152,16.57
89,69257545,6070772,346665,99197,18559508,18,19455,13727,110616,18803436,1837,290608,4152,14.84
90,70124034,6144273,350229,99197,18681496,18,19455,13727,111865,19023524,1837,290608,4152,16.04
91,70969568,6217707,353283,99197,18817930,18,19455,13727,113048,19244750,1837,290608,4152,15.99
92,71822688,6289775,357004,99197,18960103,18,19455,13727,114294,19466470,1837,290608,4152,15.74
93,72670763,6364818,360652,99197,19103131,18,19455,13727,115604,19692849,1837,290608,4152,16.29
94,73515231,6435370,364062,99197,19245087,18,19455,13727,116908,19912797,1837,290608,4152,15.59
95,74356499,6509111,367327,99197,19391632,18,19455,13727,118146,20129529,1837,290608,4152,15.47
96,75232215,6582522,370796,99197,19506720,18,19455,13727,119430,20358603,1837,290608,4152,16.30
97,76074599,6653491,374201,99197,19649720,18,19455,13727,120536,20582452,1837,290608,4152,15.61
98,76923911,6728578,377951,99197,19792442,18,19455,13727,121881,20814397,1837,290608,4152,16.22
99,77789659,6801522,381930,99197,19924266,18,19455,13727,123229,21042691,1837,290608,4152,16.00
100,78691992,6877979,385818,99197,20015983,18,19455,13727,124484,21273122,1837,290608,4152,16.70
101,79496250,6950391,389127,99197,20205355,18,19455,13727,125718,21476924,1837,290608,4152,14.63
102,80325310,7022195,392619,99197,20369210,18,19455,13727,127032,21685112,1837,290608,4152,15.23
103,81192383,7095739,395949,99197,75667312,18,19455,13727,128327,21912511,1837,290608,4152,16.25
104,81429572,7113244,412224,99197,76603794,18,19455,13727,129902,21980708,1837,290608,4152,3.81
105,81591675,7126495,415610,99197,22129154,18,19455,13727,131551,22026616,1837,290608,4152,2.04
106,82427850,7200884,419435,99197,22283353,18,19455,13727,132797,22237250,1837,290608,4152,15.36
107,83305869,7277547,423161,99197,22402233,18,19455,13727,133961,22454561,1837,290608,4152,16.30
108,84169930,7351271,426864,99197,22530183,18,19455,13727,135216,22672724,1837,290608,4152,16.07
109,85028944,7428532,429811,99197,22664341,18,19455,13727,136524,22895774,1837,290608,4152,16.35
110,85894008,7503055,433512,99197,22794289,18,19455,13727,137755,23114854,1837,290608,4152,16.01
111,86752575,7576960,436861,99197,81928886,18,19455,13727,139030,23330294,1837,290608,4152,15.75
112,87613739,7651811,440028,99197,82655801,18,19455,13727,140283,23545123,1837,290608,4152,15.94
113,88463100,7727235,443383,99197,23198384,18,19455,13727,141581,23756142,1837,290608,4152,15.60
114,89307943,7801843,446832,99197,23344797,18,19455,13727,142773,23974052,1837,290608,4152,16.12
115,89835657,7848666,450050,99197,84956598,18,19455,13727,144109,24107454,1837,290608,4152,9.27
116,90724640,7921708,453456,99197,23910242,18,19455,13727,145390,24333448,1837,290608,4152,16.52
117,91638864,7997767,457309,99197,23989418,18,19455,13727,146689,24566850,1837,290608,4152,16.88
118,92526348,8074766,460431,99197,24094443,18,19455,13727,147913,24789654,1837,290608,4152,16.46
119,93414087,8150230,464024,99197,87830816,18,19455,13727,149258,25016651,1837,290608,4152,16.60
120,94336858,8230889,480425,99197,24295460,18,19455,13727,150563,25253196,1837,290608,4152,17.55
121,95096509,8299809,484334,99197,24526308,18,19455,13727,151874,25449057,1837,290608,4152,13.77
122,95887172,8369881,488041,99197,24724894,18,19455,13727,153052,25647683,1837,290608,4152,14.46
123,96731983,8446085,491237,99197,24872778,18,19455,13727,154392,25859955,1837,290608,4152,15.53
124,97548626,8519596,494662,99197,25042339,18,19455,13727,155603,26065703,1837,290608,4152,14.97
125,98398809,8596011,498228,99197,25188482,18,19455,13727,156853,26287257,1837,290608,4152,16.19
126,99265433,8671057,502199,99197,25316289,18,19455,13727,158134,26506844,1837,290608,4152,15.99
127,100149875,8745918,505358,99197,93719991,18,19455,13727,159431,26731686,1837,290608,4152,16.31
128,101025983,8822365,508318,99197,94447428,18,19455,13727,160693,26952772,1837,290608,4152,16.17
129,101890101,8893797,511875,99197,25675746,18,19455,13727,161956,27181686,1837,290608,4152,15.90
130,102748998,8971170,515478,99197,25807247,18,19455,13727,163200,27415334,1837,290608,4152,16.49
131,103622616,9045744,519466,99197,25963047,18,19455,13727,164589,27646718,1837,290608,4152,16.11
132,104469340,9115054,522499,99197,26111493,18,19455,13727,165826,27868170,1837,290608,4152,15.61
133,105328498,9186438,526794,99197,26249986,18,19455,13727,167033,28092802,1837,290608,4152,15.81
134,106208129,9261891,530339,99197,26362950,18,19455,13727,168370,28318405,1837,290608,4152,16.20
135,107097667,9334758,533723,99197,26468266,18,19455,13727,169667,28552499,1837,290608,4152,16.44
136,107975921,9411061,537141,99197,26582998,18,19455,13727,170856,28789551,1837,290608,4152,16.80
137,108839685,9484106,540371,99197,26714284,18,19455,13727,172113,29015529,1837,290608,4152,15.86
138,109747058,9560525,543942,99197,26799176,18,19455,13727,173475,29248358,1837,290608,4152,16.88
139,110600289,9635280,547415,99197,102453912,18,19455,13727,174828,29468682,1837,290608,4152,15.62
140,111476213,9707582,550919,99197,27060724,18,19455,13727,176118,29695499,1837,290608,4152,16.19
141,112391051,9787293,558793,99197,27135067,18,19455,13727,177386,29934748,1837,290608,4152,17.37
142,113329071,9867499,570028,99197,27221592,18,19455,13727,178673,30177702,1837,290608,4152,17.61
143,114207205,9940899,573207,99197,27334111,18,19455,13727,179980,30402856,1837,290608,4152,16.19
144,115098537,10015584,576556,99197,27433218,18,19455,13727,181350,30627980,1837,290608,4152,16.52
145,116004726,10091117,580795,99197,27514531,18,19455,13727,182557,30862940,1837,290608,4152,16.71
146,116881851,10164612,584086,99197,27635340,18,19455,13727,183887,31090560,1837,290608,4152,16.24
147,117745198,10238976,587696,99197,27760920,18,19455,13727,185183,31323502,1837,290608,4152,16.52
148,118628402,10313452,590858,99197,27869448,18,19455,13727,186510,31551025,1837,290608,4152,16.34
149,119509544,10387682,594842,99197,27979433,18,19455,13727,187869,31778941,1837,290608,4152,16.28
150,120398017,10464166,598318,99197,28081652,18,19455,13727,189273,32008924,1837,290608,4152,16.39
151,121273904,10536402,601426,99197,28201541,18,19455,13727,190554,32237207,1837,290608,4152,16.20
152,122138633,10608196,605309,99197,111870902,18,19455,13727,191845,32466341,1837,290608,4152,15.90
153,123013203,10684411,619311,99197,28465333,18,19455,13727,193139,32700952,1837,290608,4152,16.63
154,123920790,10759392,622754,99197,28561631,18,19455,13727,194408,32936051,1837,290608,4152,16.87
155,124795969,10833756,626320,99197,114031513,18,19455,13727,195773,33162458,1837,290608,4152,16.08
156,125633387,10904401,630173,99197,28819634,18,19455,13727,196946,33379672,1837,290608,4152,15.48
157,126419127,10974980,633518,99197,115521176,18,19455,13727,198185,33582951,1837,290608,4152,14.25
158,127212066,11046569,636775,99197,29226581,18,19455,13727,199500,33791819,1837,290608,4152,15.12
159,128063937,11120694,639977,99197,29364320,18,19455,13727,200846,34004749,1837,290608,4152,15.66
160,128945370,11196186,643673,99197,29481952,18,19455,13727,202108,34225984,1837,290608,4152,16.30
161,129721452,11263338,646815,99197,29702478,18,19455,13727,203423,34423728,1837,290608,4152,14.13
162,130560934,11332890,650716,99197,29845797,18,19455,13727,204702,34646225,1837,290608,4152,15.53
163,131381816,11406128,653898,99197,30011481,18,19455,13727,205955,34869010,1837,290608,4152,15.63
164,132246393,11480575,657440,99197,30138734,18,19455,13727,207273,35095009,1837,290608,4152,15.95
165,133089629,11551439,661301,99197,30283559,18,19455,13727,208518,35318004,1837,290608,4152,15.53
166,133945646,11622835,664359,99197,122136386,18,19455,13727,209768,35539219,1837,290608,4152,15.71
167,134790088,11694202,667802,99197,30562727,18,19455,13727,211059,35758856,1837,290608,4152,15.70
168,135665643,11768894,671207,99197,123592504,18,19455,13727,212352,35988811,1837,290608,4152,16.36
169,136519375,11842355,687620,99197,124330122,18,19455,13727,213653,36213600,1837,290608,4152,16.15
170,137328491,11910104,690357,99197,31022437,18,19455,13727,215037,36424093,1837,290608,4152,14.90
171,138159005,11981060,694305,99197,125809854,18,19455,13727,216355,36638198,1837,290608,4152,15.18
172,138957954,12049981,697858,99197,31369063,18,19455,13727,217549,36845105,1837,290608,4152,14.72
173,139756566,12119262,701109,99197,31562835,18,19455,13727,218773,37053629,1837,290608,4152,14.58
174,140611818,12195459,704879,99197,128028033,18,19455,13727,220100,37280844,1837,290608,4152,16.28
175,141376733,12264784,708081,99197,31931678,18,19455,13727,221306,37472029,1837,290608,4152,13.91
176,142225871,12341630,711489,99197,32074883,18,19455,13727,222573,37685756,1837,290608,4152,15.51
177,143108051,12416009,715471,99197,32186331,18,19455,13727,223824,37910657,1837,290608,4152,16.27
178,143943801,12487174,718646,99197,32345322,18,19455,13727,225162,38124367,1837,290608,4152,15.40
179,144792337,12561360,722005,99197,131706258,18,19455,13727,226341,38351221,1837,290608,4152,16.11
180,145657039,12637190,734098,99197,32653190,18,19455,13727,227717,38575656,1837,290608,4152,15.93
181,146495133,12709027,737233,99197,133198607,18,19455,13727,229092,38794078,1837,290608,4152,15.37
period,experiment_runn,measurer,main,IDLE,tiT,Tmr Svc,ipc1,sys_evt,wifi,esp_timer,ipc0,Heap,Stack,Mbps
0,536,3649,101692,3394879,9627,18,19482,23720,700454,3699,1843,290608,4152,0.01
1,5948,13414,101692,4387971,11113,18,19482,23720,712729,4844,1843,290608,4152,0.00
2,5948,16036,101692,5374474,11917,18,19482,23720,724697,6000,1843,290608,4152,0.00
3,82454,18628,101692,6427097,784506,18,19482,23720,927733,7249,1843,290608,4152,14.92
4,161189,22770,101692,6829421,1642218,18,19482,23720,1160111,8562,1843,290608,4152,16.97
5,234784,25884,101692,7547817,2526330,18,19482,23720,1386743,9815,1843,290608,4152,16.26
6,302099,28961,101692,8285628,3368934,18,19482,23720,1606037,11069,1843,290608,4152,15.29
7,374937,43018,101692,6948642,4245896,18,19482,23720,1832344,12401,1843,290608,4152,16.23
8,446803,46684,101692,7062797,5125440,18,19482,23720,2052658,13538,1843,290608,4152,15.83
9,518374,50419,101692,7199561,5986031,18,19482,23720,2278656,14808,1843,290608,4152,15.85
10,589012,54096,101692,7357586,6818303,18,19482,23720,2490209,16078,1843,290608,4152,14.93
11,658184,57064,101692,7544617,7621412,18,19482,23720,2690593,17319,1843,290608,4152,14.46
12,728422,60511,101692,7750115,8399206,18,19482,23720,2888213,18450,1843,290608,4152,14.52
13,797169,64416,101692,7937832,9208202,18,19482,23720,3087545,19770,1843,290608,4152,14.23
14,865029,71705,101692,8121484,10018303,18,19482,23720,3294048,21041,1843,290608,4152,14.72
15,938246,77618,101692,8254465,10882436,18,19482,23720,3517098,22331,1843,290608,4152,16.05
16,1010950,80804,101692,8379713,11751437,18,19482,23720,3738672,23543,1843,290608,4152,15.94
17,1086516,84150,101692,8457413,12664583,18,19482,23720,3978858,24844,1843,290608,4152,17.21
18,1161705,87626,101692,8578723,13548748,18,19482,23720,4207464,26095,1843,290608,4152,16.08
19,1235537,90892,101692,17851482,14451295,18,19482,23720,4442960,27364,1843,290608,4152,16.74
20,1306665,94309,101692,8874596,15235889,18,19482,23720,4648453,28759,1843,290608,4152,14.83
21,1377310,97503,101692,9049876,16044071,18,19482,23720,4857631,29943,1843,290608,4152,14.88
22,1454706,100965,101692,20056935,16906477,18,19482,23720,5077849,31279,1843,290608,4152,15.97
23,1529321,103872,101692,9334251,17742586,18,19482,23720,5293662,32585,1843,290608,4152,15.92
24,1603158,107464,101692,9458799,18608590,18,19482,23720,5521998,33824,1843,290608,4152,16.35
25,1677999,111203,101692,9590049,19470458,18,19482,23720,5759951,35048,1843,290608,4152,16.75
26,1755288,115418,101692,9680494,20391040,18,19482,23720,6005701,36341,1843,290608,4152,17.46
27,1831956,118523,101692,9793508,21272177,18,19482,23720,6243382,37713,1843,290608,4152,16.70
28,1911743,121948,101692,9884233,22168185,18,19482,23720,6485529,39028,1843,290608,4152,17.32
29,1980131,125677,101692,25115020,22920759,18,19482,23720,6685726,40261,1843,290608,4152,14.21
30,2054088,129103,101692,25849693,23735943,18,19482,23720,6900549,41595,1843,290608,4152,15.49
31,2131894,131935,101692,10444732,24584813,18,19482,23720,7122145,42883,1843,290608,4152,16.43
32,2209169,135324,101692,10618318,25400718,18,19482,23720,7332464,44180,1843,290608,4152,15.48
33,2284413,138596,101692,10739950,26266029,18,19482,23720,7560882,45407,1843,290608,4152,16.64
34,2363457,142441,101692,10819041,27177183,18,19482,23720,7802318,46787,1843,290608,4152,17.39
35,2440226,146004,101692,10931050,28052473,18,19482,23720,8036274,48000,1843,290608,4152,16.75
36,2520141,149067,101692,11022418,28952068,18,19482,23720,8272802,49382,1843,290608,4152,17.21
37,2597451,152688,101692,30856706,29835275,18,19482,23720,8507826,50726,1843,290608,4152,16.49
38,2671706,156189,101692,11278644,30678884,18,19482,23720,8728940,52032,1843,290608,4152,16.02
